GLOSS,CONCEPT,CONCEPTICON_ID
blood,blood,946
bone,bone,1394
breast,breast,1402
come,come,1446
die,die,1494
dog,dog,2009
drink,drink,1401
ear,ear,1247
eye,eye,1248
fire,fire,221
fish,fish,227
full,full,1429
hand,hand,1277
hear,hear,1408
horn,horn,1393
I,1sg,1209
knee,knee,1371
leaf,leaf,628
liver,liver,1224
louse,louse,1392
mountain,mountain,639
name,name,1405
new,new,1231
night,night,1233
nose,nose,1221
one,one,1493
path,path,2252
person,person,683
see,see,1409
skin,skin,763
star,star,1430
stone,stone,857
sun,sun,1343
tongue,tongue,1205
tooth,tooth,1380
tree,tree,906
two,two,1498
water,water,948
we,1pl,1212
you,2sg,1215
