GRAPHEME	IPA
kX~	kˠ
kh~	kʰ
kj~	kʲ
kp~	kp
kw~	kʷ
kx~	kˠ
ky~	kʲ
ng~	ⁿg
nk~	ⁿk
q7~	qˀ
qX~	qχ
qh~	qʰ
qw~	qʷ
qy~	qʲ
Nk"~	ⁿk’
k"w~	kʼʷ
k"y~	k’ʲ
kwh~	kʷʰ
kx"~	k’ˠ
ky"~	k’ʲ
nk"~	ⁿk’
q"X~	q’ˠ
q"w~	qʼʷ
qw"~	qʼʷ
L	ʎ
l	l
L"	ʎ’
l"	l’
L7~	ʎˀ
LX~	ʎˠ
Lh~	ʎʰ
Lw~	ʎʷ
Ly~	ʎʲ
hl~	ʰl
l7~	lˀ
lX~	lˠ
lZ~	ɮ
lh~	lʰ
lw"	l’ʷ
lw~	lʷ
lx~	lˠ
ly~	lʲ
nlh~	ⁿlʰ
m	m
m"	m’
hm~	ʰm
m7~	mˀ
mX~	mˠ
mh~	mʰ
mm~	mː
mp~	mp
mw~	mʷ
mx~	mˠ
my~	mʲ
%	ɲ
4	n̪
5	ɲ
N	ŋ
n	n
5"	ɲ’
N"	ŋ’
n"	n’
4h~	n̪ʰ
5h~	ɲʰ
5w~	ɲʷ
5y~	ɲʲ
7n~	ˀn
Nh~	ŋʰ
Nn~	ŋ
Nw~	ŋʷ
Nx~	ŋˠ
Ny~	ŋʲ
h5~	ʰɲ
hN~	ʰŋ
hn~	ʰn
n7~	nˀ
nh~	nʰ
nw~	nʷ
nx~	nˠ
ny~	nʲ
yn~	ɲ
hNq~	ʰŋˠ
n5w~	ɲʷ
b	b
p	p
b"	b’
p"	pʼ
7b~	ˀb
Nb~	ⁿb
Np~	ⁿp
b7~	bˀ
bX~	bˠ
bg~	bˠ
bh~	bʰ
bw~	bʷ
bx~	bˠ
by~	bʲ
hp~	ʰp
mb~	ⁿb
np~	ⁿp
p7~	pˀ
pS~	pʃ
pX~	pˠ
ph~	pʰ
pw~	pʷ
px~	pˠ
py~	pʲ
b"w~	b’ʷ
b"y~	b’ʲ
p"X~	pχʼ
p"y~	p’ʲ
pf"~	pfʼ
r	r
r"	r’
Nr~	ⁿr
hr~	ʰr
r7~	rˀ
rX~	rˠ
rh~	rʰ
rj~	rʲ
rr~	rː
rw~	rʷ
rx~	rˠ
ry~	rʲ
S	ʃ
Z	ʒ
s	s
z	z
S"	ʃʼ
Z"	ʒ’
s"	sʼ
z"	z’
5Z~	ⁿʒ
7S~	ˀʃ
7s~	ˀs
Ns~	ⁿs
S7~	ʃˀ
SX~	ʃˠ
Sh~	ʃʰ
Sw~	ʃʷ
Sx~	ʃˠ
Sy~	ʃʲ
Z7~	ʒˀ
ZX~	ʒˠ
ZZ~	ʒː
Zh~	ʒʰ
Zj~	ʒʲ
Zw~	ʒʷ
Zy~	ʒʲ
hS~	ʰʃ
hs~	ʰs
nS~	ⁿʃ
nZ~	ⁿʒ
ns~	ⁿs
nz~	ⁿz
s7~	sˀ
sX~	sˠ
sh~	sʰ
ss~	sː
sw~	sʷ
sx~	sˠ
sy~	sʲ
zX~	zˠ
zh~	zʰ
zw~	zʷ
zy~	zʲ
zz~	zː
S"h~	ʃ’ʰ
S"w~	ʃ’ʷ
C	tʃ
d	d
j	dʒ
t	t
C"	tʃʼ
c"	tsʼ
d"	d’
j"	dʒ’
t"	tʼ
5C~	ⁿtʃ
5d~	ⁿd
7C~	ˀtʃ
7d~	ˀd
7j~	ˀdʒ
C7~	tʃˀ
CS~	tʃ
CX~	tʃˠ
Ch~	tʃʰ
Cw~	tʃʷ
Cx~	tʃˠ
Cy~	tʃʲ
NC~	ⁿtʃ
Nd~	ⁿd
Nt~	ⁿt
cy~	tsʲ
d7~	dˀ
dX~	dˠ
dZ~	dʒ
dh~	dʰ
dj~	dʒ
dn~	dⁿ
dw~	dʷ
dx~	dˠ
dy~	dʲ
hC~	ʰtʃ
hc~	ʰts
ht~	ʰt
j7~	dʒˀ
jX~	dʒˠ
jZ~	dʒ
jh~	dʒʰ
jw~	dʒʷ
jy~	dʒʲ
md~	ⁿd
nC~	ⁿtʃ
nc~	ⁿts
nd~	ⁿd
nj~	ⁿdʒ
nt~	ⁿt
t7~	tˀ
tS~	tʃ
th~	tʰ
tj~	tʲ
tt~	tː
tw~	tʷ
tx~	tˠ
ty~	tʲ
C"w~	tʃ’ʷ
C"y~	tʃ’ʲ
c"X~	tʃ’ˠ
c"y~	ts’ʲ
nc"~	ⁿtsʼ
nt"~	ⁿt’
t"8~	tθ’
t"X~	t’ˠ
t"h~	t’ʰ
t"w~	t’ʷ
t"y~	t’ʲ
thw~	tʷʰ
o	o
o*	õ
w	w
w"	w’
w7~	wˀ
u	u
u*	ũ
u7~	uˀ
!X~	ǂ χ
!r~	ǃ r
!d~	ǃ d
ah~	a h
Ey~	a j
ay~	a j
a*y*	ã j
aw~	a w
fv~	f v
fk~	f k
fl~	f l
vl~	v l
vn~	v n
fr~	f r
vr~	v r
fs~	f s
vw~	v w
Tv~	c v
cv~	ts v
TX~	c χ
cX~	ts χ
T5~	c ɲ
cb~	ts b
cz~	ts z
8w~	θ w
ax~	ɐ x
e7~	e ʔ
3y*	ə̃ j
ay*	ɐ̃ j
e*y*	ẽ j
aq~	ɐ q
a*g~	ɐ̃ g
a5~	ɐ ɲ
aN~	ɐ ŋ
at~	ɐ t
a*d~	ɐ̃ d
ew~	e w
a*w*	ɐ̃ w
xv~	x v
xc~	x ts
Xk~	χ k
xk~	x k
xq~	x q
Xm~	χ m
Xs~	χ s
xS~	x ʃ
Xt~	χ t
xww~	x u
h7~	h ʔ
7m~	ʔ m
iv~	i v
iX~	i χ
ih~	i h
yh~	i h
i*7~	ĩ ʔ
ij*	ĩ j
iy*	ĩ j
ik~	i k
yk~	i k
yw~	i w
y*E	j ã
y*i	j ĩ
yt~	j t
y*o	j õ
gv~	g v
kf~	k f
kv~	k v
k"v~	kʼ v
GX~	ɢ χ
qx~	q x
qX"~	q χʼ
k"7~	kʼ ʔ
gk~	g k
gl~	g l
kl~	k l
gN~	g ŋ
gn~	g n
kn~	k n
gb~	g b
gr~	g r
kr~	k r
kS~	k ʃ
ks~	k s
kw*$	k ũ
lv~	l v
lm~	l m
mf~	m f
mv~	m v
