ID,NAME,GLOTTOCODE,PROXY
AASAX,AASAX,aasa1238,
ABAGA,ABAGA,abag1245,
ABANYOM,ABANYOM,aban1242,
ABAR,ABAR,abar1238,
ABASAKUR,ABASAKUR,pall1244,
ABAU,ABAU,abau1245,
ABAZA,ABAZA,abaz1241,
ABE,ABE,abee1242,
ABIDJI,ABIDJI,abid1235,
ABINOMN,ABINOMN,abin1243,
ABIPON,ABIPON,abip1241,
ABKHAZ,ABKHAZ,abkh1244,
ABNAKI_EASTERN,ABNAKI_EASTERN,east2544,
ABNAKI_WESTERN,ABNAKI_WESTERN,west2630,
ABON,ABON,abon1238,
ABRON,ABRON,abro1238,
ABU,ABU,abuu1241,
ABUA,ABUA,abua1244,
ABUI,ABUI,abui1241,
ABUJHMARIA,ABUJHMARIA,mari1414,
ABUL,ABUL,heib1243,
ABUN,ABUN,abun1252,
ABURE,ABURE,abur1243,
ABU_2,ABU_2,abua1245,
ACATECO_SAN_MIGUEL_ACATAN,ACATECO_SAN_MIGUEL_ACATAN,west2635,
ACEH,ACEH,achi1257,
ACHAEMENID_ARAMAIC,ACHAEMENID_ARAMAIC,jewi1240,
ACHAGUA,ACHAGUA,acha1250,
ACHANG,ACHANG,acha1249,
ACHE,ACHE,ache1246,
ACHOLI,ACHOLI,acol1236,
ACHUAR,ACHUAR,achu1248,
ACHUMAWI,ACHUMAWI,achu1247,
ACOMA_KERES,ACOMA_KERES,west2632,
ADANG,ADANG,adan1251,
ADANGBE,ADANGBE,adan1248,
ADELE,ADELE,adel1244,
ADHOLA,ADHOLA,adho1243,
ADIOUKROU,ADIOUKROU,adio1239,
ADIWASI_GARASIA,ADIWASI_GARASIA,adiw1235,
ADNYAMATHANHA,ADNYAMATHANHA,adny1235,
ADORA,ADORA,airo1242,
ADYGHE,ADYGHE,adyg1241,
AEKA,AEKA,aeka1244,
AEKYOM,AEKYOM,aeky1238,
AFADE,AFADE,afad1236,
AFAR,AFAR,afar1241,
AFITTI,AFITTI,afit1238,
AFRIKAANS,AFRIKAANS,afri1274,
AGALA,AGALA,femb1238,
AGARABI,AGARABI,agar1252,
AGHEM,AGHEM,aghe1239,
AGHU,AGHU,aghu1255,
AGHU_THARRNGGALA,AGHU_THARRNGGALA,aghu1254,
AGI,AGI,moru1253,
AGI_AGEI,AGI_AGEI,agii1245,
AGOB_DABU,AGOB_DABU,agob1244,
AGOI,AGOI,agoi1246,
AGTA,AGTA,cent2084,
AGUACATEC,AGUACATEC,agua1252,
AGUARUNA,AGUARUNA,agua1253,
AGUL,AGUL,aghu1253,
AGWAGWUNE,AGWAGWUNE,agwa1247,
AHAN,AHAN,ahan1244,
AHANTE,AHANTE,ahan1243,
AHLO,AHLO,igoo1238,
AHOM,AHOM,ahom1240,
AHTNA,AHTNA,ahte1237,
AIKANA,AIKANA,aika1237,
AIKLEP,AIKLEP,aikl1237,
AIKU,AIKU,yang1296,
AIMELE,AIMELE,aime1238,
AIMOL,AIMOL,aimo1244,
AINU_SOYA,AINU_SOYA,ainu1240,
AIOME,AIOME,aiom1240,
AISHUO_WA,AISHUO_WA,para1301,
AIZI,AIZI,apro1235,
AIZI_TIAGBAMRIN,AIZI_TIAGBAMRIN,tiag1235,
AI_BANDA,AI_BANDA,band1353,
AJA,AJA,ajas1235,
AJAGBE,AJAGBE,ajab1235,
AJIE,AJIE,ajie1238,
AJYININKA_APURUCAYALI,AJYININKA_APURUCAYALI,ajyi1238,
AK,AK,akkk1240,
AKA,AKA,akaa1242,
AKARA,AKARA,east2379,
AKAR_BALE,AKAR_BALE,akar1243,
AKASELEM,AKASELEM,akas1242,
AKAWAIO,AKAWAIO,akaw1239,
AKA_BEA,AKA_BEA,akab1249,
AKA_BO,AKA_BO,akab1248,
AKA_CARI,AKA_CARI,akac1240,
AKA_KEDE,AKA_KEDE,akak1252,
AKA_KOL,AKA_KOL,akak1253,
AKA_KORA,AKA_KORA,akak1251,
AKE,AKE,akee1238,
AKEBU,AKEBU,akeb1238,
AKEI,AKEI,akei1237,
AKHA,AKHA,akha1245,
AKHVAKH,AKHVAKH,akhv1239,
AKITA,AKITA,okod1238,
AKKADIAN,AKKADIAN,akka1240,
