language,glottocode,force_include
ALLENTIAC,alle1238,
AMAM,amam1246,
ANDOQUERO,ando1254,
ANDRO,andr1246,
ARAMAIC_ANCIENT,olda1246,
AURAN_KULON_PAZEH,kulo1238,
AYOMAN,ayom1234,
BELADE,bela1316,
BANGRU,bang1369,
BARRANBIYA,barr1252,
BASUM,basu1243,
BEN_LOMOND_CAPE_PORTLAND,benl1235,
BETOI,beto1237,
BIGAMBAL,biga1237,
BINAHARI_MA,bina1274,
BIRRDHAWAL,gana1268,
BULARNU,bula1255,
BALADE,bala1316,
BULU_PUROIK,bulu1255,
BUTAM,buta1242,
BUU_ZARANDA,zara1252,
CAIJIA,caij1234,
CAMBERRA_LANGUAGE,sout2770,
CARIAY,cari1280,
CARIB_1665,,True
CHALON,chal1270,
CHANA,chan1296,
CHINGONI,tanz1241,
CHOLTI,chol1283,
COERUNA,coer1236,
COLAC,cola1237,
COLAN,cola1238,
COMMON_TOCHARIAN,tokh1241,
CUICA,cuic1235,
CUNG,cung1238,
DHUDHUROA,dhud1236,
DJADJALA,,True
DONGO_KRESH,dong1296,
DORASQUE,dora1242,
DOTHRAKI,,
DRAG_YAB,drag1234,
DUOXU,duox1238,
ESMERALDENYO,atac1235,
GANDANGARA,yaru1254,
GEJI,geji1247,
GUACHI,guac1239,
GUAMO,guam1236,
GUARANI_ANTIGO,oldp1258,
GUINAU,guin1258,
GUYAMBAL,guya1250,
GWARA,gwar1240,
GYANNZI_GEEJI,geji1247,
GYANNZI_GEEJI_2,pelu1234,
HELSINKI_STADIN_SLANGI,,
HOAN,dzuo1238,
IDO,,
INTERLINGUA,,
JAPHUG,japh1234,
JIRINGAYN,sout2771,
KATHLAMET,kath1253,
KAWA,kafo1240,
KERAMIN,kera1256,
KHAMNIGAN_MONGOL,kham1281,
KITANEMUK,kita1252,
KLINGON,,
KORUPUN_BROMLEY,kora1298,
KROTMAG_KLINGON,,
KWANKA,vagh1248,
LAMEI,lame1270,
LATE_EGYPTIAN,late1256,
LAZE,laze1238,
LEN_1,lenn1234,
LEN_2,lenn1234,
LIZU,lizu1234,
LOJBAN,,
MANGGHUER,minh1238,
MANSIM,mans1260,
MBOANDEM,,
MIDDLE_EGYPTIAN,midd1369,
MIISIIRII_TAMA,miis1236,
MILANG,mila1245,
MILLCAYAC,mill1237,
MIRRIPU_TIMOTE,mirr1241,
MOLET,mole1239,
MOMI_YADIM,momi1241,
MORIKE,mori1273,
MORSKA_KLINGON,,
MUKLOM_TANGSA,mukl1235,
NABIT,nabi1240,
NAHUATL_ACAXOCHITLAN,east2538,True
NAHUATL_AMILCINGO_ZACUALPAN,,True
NAHUATL_AXOCHIAPAN,,True
NAHUATL_AYOTOXCO,,True
NAHUATL_CHICHIQUILA,huax1236,True
NAHUATL_CHIGNAUTLA,,True
NAHUATL_CHILOCOYO_HUEHUETLA,,True
NAHUATL_CHINANCAHUATL_ZACUALTIPAN,,True
NAHUATL_COYOTEPEC,,True
NAHUATL_CUAMELCO_TIANGUISTENGO,,True
NAHUATL_CUATLAMAYAN_ANTONIO_SANTOS,,True
NAHUATL_HUEYAPAN_TETELA_DEL_VOLCAN,,True
NAHUATL_HUEYATI_YAHUALICA,,True
NAHUATL_IXHUATLAN_DE_MADERO,,True
NAHUATL_IXTACAMAXTITLAN,,True
NAHUATL_JALATLACO,,True
NAHUATL_JICOCINGO_ZACATLAN,zaca1241,True
NAHUATL_LAS_BALSAS,,True
NAHUATL_LA_REFORMA_TEPEHUACAN_DE_GUERRERO,,True
NAHUATL_MONTEGRANDE_PLATON_SANCHEZ,,True
NAHUATL_QUETZALAPA_AZOYU,,True
NAHUATL_REYES_DE_VALLARTA_TUZAMAPAN,,True
NAHUATL_SANTA_ANA_TLACOTENCO,,True
NAHUATL_SANTA_MARIA_TEOPOXCO,nort2958,True
NAHUATL_SAN_FRANCISCO_TLALNEPANTLA,,True
NAHUATL_SAN_JERONINO_AMANALCO,,True
NAHUATL_SAN_PEDRO_JICORA,,True
NAHUATL_TLALNEPANTLA_TAMAZUNCHALE,,True
NAHUATL_XAALITLA_TEPECUAUILCO,,True
NAHUATL_XALATZALA_TLAPA,,True
NAHUATL_XALPATLAHUAC,,True
NAHUATL_XILITLA,,True
NAHUATL_XOCHIATIPAN,,True
NAHUATL_XOXOCOTLA_PUENTE_DE_IXTLA,,True
NAHUATL_ZAHUASTIPAN_SAN_AUGUSTIN_METZQUITITLAN,,True
NATI,nati1244,
NDRE,dree1234,
NESE,nese1235,
NGBAKA_PENDI,gili1241,
NGONI,tanz1241,
NGONI_3,tanz1241,
OGADEN_ARABIC,ogad1238,
OMEO,sout2770,
OOKU,ooku1235,
OTOMACO,otom1301,
PALEWYAMI,pale1254,
PAUWI_2,pauw1243,
PAUWI_3,pauw1243,
PAYAGUA,paya1236,
PAZEH,paze1234,
PIMENTEIRA,pime1237,
SAR_INDONESIA,sarr1247,
SECHURA,sech1236,
SENGMAI,seng1275,
SITI,siti1241,
SITI_2,siti1241,
SITU,situ1238,
SOLTEC,solt1234,
TAHITIAN_18TH_CENTURY,,True
TANDA_PNG,tand1259,
TAPARITA,tapa1262,
TAPE,mara1399,
TEQUIXISTLAN_CHONTAL,tequ1245,
TIEFO_NYAFOGO,tief1244,
TOTONAC_COATEPEC,coat1246,
TOTONAC_OLINTLA,olin1234,
TOTONAC_OZELONACAXTLA,ozel1234,
TOTONAC_TEJERIA,,True
TSHOBDUN,tsho1240,
TULAMNI,tula1254,
TZOTZIL_ZINACANTAN_1600,,True
ULTERIOR_MIXE_C,ulte1235,
WAGU,wagu1234,
WANAM_YELMEK,wana1273,
WIKCHAMNI,wikc1234,
YAMBEN,yamb1257,
YAWDANCHI,yawd1234,
YITHA_YITHA,yith1234,
YONGHE_QIANG,yong1287,
YURUMANGUI,yuru1243,
ZAPOTEC_1578,,True
ZBU,zbua1234,
